fundo;data_referencia;net_worth;pv_credit_rights;pdd;total_cash;cash_idleness;net_allocation;threshold_net_allocation;status_net_allocation;subordination_senior;threshold_senior;status_senior;subordination_mezzanine_a;threshold_mezzanine_a;status_mezzanine_a;subordination_mezzanine_b;threshold_mezzanine_b;status_mezzanine_b;subordination_mezzanine_c;threshold_mezzanine_c;status_mezzanine_c;retorno_junior;threshold_junior_return;vl_dicred_aquis_mes;vl_som_prazo_venc;vl_som_inad_venc;CR_due_30;CR_due_31_60;CR_due_61_90;CR_due_91_120;CR_due_121_150;CR_due_151_180;CR_due_181_360;CR_due_maior_360;vl_inad_venc_30;vl_inad_venc_31_60;vl_inad_venc_61_90;vl_inad_venc_91_120;vl_inad_venc_121_150;vl_inad_venc_151_180;vl_inad_venc_181_360;vl_inad_venc_maior_360;cash;government_securities;sovereign_fund;other_assets;delinq_ratio_30;delinq_ratio_31_60;delinq_ratio_61_90;delinq_ratio_91_120;delinq_ratio_121_150;delinq_ratio_151_180;delinq_ratio_181_360;delinq_ratio_maior_360;subordination_mezzanine_d;subordination_mezzanine_e;subordination_mezzanine_f;subordination_mezzanine_g;subordination_mezzanine_h;total_cash;total_senior;total_subord_Junior;total_subord_Mezza_A;total_subord_Mezza_B;total_subord_Mezza_C;total_subord_Mezza_D;total_subord_Mezza_E;total_subord_Mezza_F;total_subord_Mezza_G;total_subord_Mezza_H
FIDC Agroforte;01/08/2024;41565080.83;38810543.42;1456229.66;4508387.75;0.108465752;0.891534248;0.5;OK;0.253722966;0.25;OK;0.221032597;0.15;OK;0.221032597;0.1;OK;0.221032597;;N/A;-0.64;0;11589972.08;37282542.57;1528000.85;2270290.6;3335631.83;4681490.51;2595495.46;2744970.53;3293383.12;10842868.33;7518412.19;787661.3;171429.21;187106.94;51705.77;30415.83;50149.8;249532;0;246355.48;0;4230024.28;32007.99;0.020295034;0.004417078;0.004821034;0.001332261;0.0007837;0.001292169;0.00642949;0;0.221032597;0.221032597;0.221032597;0.221032597;0.221032597;4508387.75;31019065.22;9187237.78;1358777.83;0;0;0;0;0;0;0
FIDC Agroforte;01/09/2024;42299882.9;40923952.99;1356599.13;4057032.54;0.0959112;0.9040888;0.5;OK;0.256969901;0.25;OK;0.224371024;0.15;OK;0.224371024;0.1;OK;0.224371024;;N/A;3.3;0;4963194.98;38670658.84;2253294.15;2468649.66;5160973.48;2755055.71;3167115.01;4076354.86;2124997.91;11328302.62;7589209.59;1483402.08;282097.05;77270.58;62236.08;44816.82;27427.44;276044.1;0;1273026.53;0;2755777.94;28228.07;0.036247771;0.006893201;0.00188815;0.001520774;0.001095124;0.000670205;0.006745294;0;0.224371024;0.224371024;0.224371024;0.224371024;0.224371024;4057032.54;31430086.16;9490868.05;1378928.69;0;0;0;0;0;0;0
FIDC Agroforte;01/10/2024;48666591.81;43510848.62;1694332.59;7351204.56;0.151052381;0.848947619;0.5;OK;0.344706682;0.25;OK;0.315907981;0.15;OK;0.315907981;0.1;OK;0.315907981;;N/A;-0.55;0;6101045.77;42168969.02;1341879.6;4952305.15;4256339.88;4265303.29;5145332.2;2315424.26;2503299;11712124.45;7018840.79;573990.1;119879.26;214824.06;66710.97;54236.08;44816.82;267422.31;0;442356.1;0;6884148.55;24699.91;0.013191885;0.002755158;0.004937253;0.001533203;0.001246496;0.001030015;0.006146107;0;0.315907981;0.315907981;0.315907981;0.315907981;0.315907981;7351204.56;31890892.44;15374164.75;1401534.62;0;0;0;0;0;0;0
FIDC Agroforte;01/11/2024;49542356.88;45710375.7;1386350.9;7670534.6;0.15482781;0.84517219;0.5;OK;0.348340743;0.25;OK;0.319661361;0.15;OK;0.319661361;0.1;OK;0.319661361;;N/A;3.01;0;6460632.56;42543682.87;3166692.83;3861196.6;4527122.66;5852870.08;2699090.71;2821299.57;2209203.38;13188626.74;7384273.13;2410611.42;193276.63;73767.44;93599.85;66710.96;54236.08;274490.45;0;2366789.75;0;5282404.08;21340.77;0.052736635;0.004228288;0.001613801;0.002047672;0.001459427;0.001186516;0.006004992;0;0.319661361;0.319661361;0.319661361;0.319661361;0.319661361;7670534.6;32284735.49;15836777.22;1420844.17;0;0;0;0;0;0;0
FIDC Agroforte;01/12/2024;55121498.03;51503933.86;1415588.24;5256796.3;0.095367443;0.904632557;0.5;OK;0.314085207;0.25;OK;0.287902065;0.15;OK;0.287902065;0.1;OK;0.287902065;;N/A;0.24;0;12843243.73;50332393.05;1171540.81;6406424.42;6881719.01;3654130.75;3573074.88;3082599.21;3278950.65;15380942.93;8074551.2;500045.9;100831.68;115946.55;57166.65;72776.88;61112.5;260035.01;3625.64;124692.76;0;4088202.16;1043901.38;0.009708888;0.001957747;0.002251217;0.001109947;0.001413035;0.00118656;0.005048838;7.04E-05;0.287902065;0.287902065;0.287902065;0.287902065;0.287902065;5256796.3;37808650.89;15869593.09;1443254.05;0;0;0;0;0;0;0
FIDC Agroforte;01/01/2025;59882888.47;54651471.49;1456461.67;8047599.6;0.134388968;0.865611032;0.5;OK;0.341861976;0.25;OK;0.317353244;0.15;OK;0.266918005;0.1;OK;0.266918005;;N/A;0.72;0;9824907.87;52442125;2209346.49;6508894.53;5182151.08;4186731.82;3788659.88;4182872.79;3596383.73;16769147.28;8227283.89;1451702.68;219880.12;58360.84;88297.18;48530.03;67615.11;274960.53;0;1258919.57;0;6774753.58;13926.45;0.02656292;0.004023316;0.001067873;0.001615641;0.000887991;0.001237206;0.005031164;0;0.266918005;0.266918005;0.266918005;0.266918005;0.266918005;8047599.6;39411205.86;15983821.1;1467653.67;3020207.84;0;0;0;0;0;0
FIDC Agroforte;01/02/2025;65728720.28;63796166.5;1522287.41;5642034.78;0.085838196;0.914161804;0.5;OK;0.312396373;0.25;OK;0.289709253;0.15;OK;0.243039802;0.1;OK;0.243039802;;N/A;-0.06;0;14491938.95;60493833.94;3302332.56;8234575.58;6888107.67;4831758.42;4996738.05;4491970.71;6013477.1;15947708.74;9089497.67;2516615.43;192000.09;107492.92;58360.84;91922.83;44904.38;291036.07;0;2078154.31;0;3553019.01;10861.46;0.039447753;0.003009587;0.001684943;0.000914802;0.001440883;0.000703873;0.004561968;0;0.243039802;0.243039802;0.243039802;0.243039802;0.243039802;5642034.78;45195306.44;15974695.18;1491195.41;3067523.25;0;0;0;0;0;0
FIDC Agroforte;01/03/2025;71544652.06;66594137.62;1926486.22;8004956.24;0.111887556;0.888112444;0.5;OK;0.28560451;0.25;OK;0.264438989;0.15;OK;0.220914837;0.1;OK;0.220914837;;N/A;-1.06;0;12801150.75;64020074.87;2574062.75;7013250.75;6473256.47;5959689.61;6009395.53;7113840.26;5815763.18;15973808.28;9661070.79;1717546.4;224698.43;96055.49;99264.52;58360.84;80297.18;294214.26;3625.63;1504.26;0;0;8003451.98;0.025791255;0.003374147;0.001442402;0.001490589;0.000876366;0.001205769;0.00441802;5.44E-05;0.220914837;0.220914837;0.220914837;0.220914837;0.220914837;8004956.24;51111176.74;15805275.18;1514279.83;3113920.31;0;0;0;0;0;0
FIDC Agroforte;01/04/2025;83692541.13;81300706.89;2840466.26;7193932.65;0.085956676;0.914043324;0.5;OK;0.248958447;0.25;Flag;0.230562013;0.15;OK;0.180729441;0.1;OK;0.180729441;;N/A;-4.3;0;18628690.43;75839457.15;5461249.74;9385365.55;7814677.3;7660956.85;9078982.22;7289162.22;5307710.4;18055448.27;11247154.34;4240216.78;461849.38;166752.71;78674.29;99264.52;58360.84;356131.22;0;4608.05;0;0;7189324.6;0.052154734;0.005680755;0.002051061;0.000967695;0.001220955;0.000717839;0.00438042;0;0.180729441;0.180729441;0.180729441;0.180729441;0.180729441;7193932.65;62856576.08;15125706.19;1539644.31;4170614.55;0;0;0;0;0;0
FIDC Agroforte;01/05/2025;101934479.9;89126897.1;2337051.25;17226688.41;0.168997658;0.831002342;0.5;OK;0.261774607;0.25;OK;0.246400328;0.15;OK;0.20477032;0.1;OK;0.155399578;;N/A;4.73;0;16514849.75;83430530.36;5696366.74;9530878.76;9608869.21;11076532.95;8828412.55;6622592.76;5564239.11;19517768.69;12681236.33;3613742.1;1254909.59;156852.5;111213.22;66607.44;99264.52;373777.37;20000;390.03;0;0;17226298.38;0.040546033;0.014080032;0.001759878;0.001247808;0.000747333;0.001113744;0.004193766;0.000224399;0.155399578;0.155399578;0.155399578;0.155399578;0.155399578;17226688.41;75250621.48;15840575.13;1567169.2;4243533.18;5032580.93;0;0;0;0;0
FIDC Agroforte;01/06/2025;99423834.58;98536037.54;3139136.09;6479347.47;0.065168956;0.934831044;0.5;OK;0.261509126;0.25;OK;0.246812277;0.15;OK;0.20341479;0.1;OK;0.151947922;;N/A;-4.63;0;18192230.54;92694609.17;5841428.37;11154253.77;13123391;10394369.97;8327838.22;7089033.72;6852776.36;21143735.54;14609210.59;2222892.53;1720291.57;1202515.96;103121.85;105483.71;66607.44;415180.18;5335.13;2504.85;0;0;6476842.62;0.022559183;0.017458502;0.012203819;0.001046539;0.001070509;0.00067597;0.004213486;5.41E-05;0.151947922;0.151947922;0.151947922;0.151947922;0.151947922;6479347.47;73423594.45;15107245.05;1461217.12;4314744.54;5117033.42;0;0;0;0;0
FIDC Agroforte;01/07/2025;105151168.8;105274528.9;2740099.62;3344073.41;0.031802532;0.968197468;0.5;OK;0.255622595;0.25;OK;0.242738202;0.15;OK;0.200905779;0.1;OK;0.151294983;;N/A;5.31;0;21495914.8;102056114.1;3218414.78;14322898.96;12090360.81;9981265.04;9083761.82;8130728.12;6784589.53;23334450.19;18328059.62;1530443.1;622319.68;253936.07;142022.61;153305.25;95712.95;420675.12;0;10712.24;0;0;3333361.17;0.014537639;0.005911398;0.002412132;0.001349069;0.001456243;0.000909175;0.003995982;0;0.151294983;0.151294983;0.151294983;0.151294983;0.151294983;3344073.41;78272154.2;15908844.26;1354808.93;4398728.25;5216633.17;0;0;0;0;0
FIDC Alume;01/08/2024;80562976.34;83899842.07;4862918.93;2097015.26;0.026029516;0.973970484;0.67;OK;0.329115148;0.3;OK;0.329115148;;N/A;0.329115148;;N/A;0.329115148;;N/A;1.94;0;4641420.2;80822081.08;3077760.99;2783771.51;3035660.48;3060185.62;3029028.85;3173999.12;3213992.66;18973962.2;43551480.64;650658.26;369632.21;304772.16;270411.64;250367.23;243133.98;700143.09;288642.42;0;0;1949461.57;147553.69;0.007755179;0.004405637;0.003632571;0.003223029;0.00298412;0.002897907;0.008344987;0.003440321;0.329115148;0.329115148;0.329115148;0.329115148;0.329115148;2097015.26;54048480.42;26514495.92;0;0;0;0;0;0;0;0
FIDC Alume;01/09/2024;83955206;84682506.01;5402164.29;5261063.88;0.015487806;0.984512194;0.67;OK;0.3213;0.3;OK;0.079421795;;N/A;0.079421795;;N/A;0.079421795;;N/A;1.75;0;2735149.15;81341977.18;3340528.83;2910769.2;3094512.97;3101547.48;3241434.03;3289298.33;3528301.98;19144081.07;43032032.12;706921.45;373713.39;305938.17;272558.79;253012.54;237410.12;827349.08;363625.29;0;0;5069246.46;191817.42;0.008347904;0.004413112;0.003612767;0.003218596;0.002987778;0.002803532;0.009770012;0.004293984;0.079421795;0.079421795;0.079421795;0.079421795;0.079421795;5261063.88;312711867;26978846.36;0;0;0;0;0;0;0;0
FIDC Alume;01/10/2024;85617801.01;85298652.92;5445828.38;6466377.43;0.075526086;0.924473914;0.67;OK;0.3253539;0.3;OK;0.3253539;;N/A;0.3253539;;N/A;0.3253539;;N/A;3.25;0;2550207.35;81728718.94;3569933.98;2994890.98;3146879.99;3305402.2;3357113.07;3615192.21;3589881.45;19294087.31;42425271.73;754587.62;408057.95;311890.06;275276.56;250768;235927.74;915272.17;418153.88;0;0;6339300.23;127077.2;0.008846419;0.004783873;0.003656448;0.003227209;0.002939882;0.002765902;0.010730207;0.004902233;0.3253539;0.3253539;0.3253539;0.3253539;0.3253539;6466377.43;57761715.55;27856085.46;0;0;0;0;0;0;0;0
