Date;Credit_Portfolio_Total_BRL_mn;Credit_Portfolio_Corporate_BRL_mn;Credit_Portfolio_Retail_BRL_mn;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX_BRL_mn
01/01/2012;2033185;1099064;934121;3.86;1.95;6.11;1.87;3.3;8.77;5.71;38.27;4.03;0.4;;0.81;23.83;35;-26016.01
01/02/2012;2041040;1099920;941121;3.95;1.9;6.35;1.87;3.34;8.62;5.63;36.41;4.08;0.42;;0.24;24.11;35.15;-35530.28
01/03/2012;2078912;1125741;953171;4.01;2;6.39;1.82;3.33;8;5.68;36.46;4.03;0.42;8;0.6;23.27;34.26;-45972.2
01/04/2012;2106585;1141731;964854;3.9;1.72;6.48;1.75;3.28;8.24;5.7;35.9;4.12;0.59;7.8;0.52;22.5;33.5;-60211.9
01/05/2012;2142061;1161233;980828;3.84;1.87;6.18;1.64;3.12;8.65;5.53;36.97;4.21;0.35;7.7;0.52;21.65;32.77;-62864.88
01/06/2012;2175135;1180998;994137;3.69;1.68;6.08;1.58;3.08;8.73;5.32;36.61;4.11;0.43;7.6;0.11;21.61;32.78;-65659.1
01/07/2012;2192888;1188704;1004184;3.83;1.95;6.06;1.58;3.01;9.08;5.07;37.23;4.17;0.43;7.5;0.22;21.33;32.51;-71228.63
01/08/2012;2219866;1197310;1022556;3.71;1.96;5.75;1.56;2.95;9.3;5.25;37.01;4.25;0.47;7.4;0.44;21.36;32.6;-74225.24
01/09/2012;2244474;1218829;1025645;3.69;1.75;5.99;1.53;2.95;9.19;5.32;35.92;4.21;0.42;7.1;0.54;21.29;32.62;-75815.83
01/10/2012;2276286;1234774;1041511;3.72;1.81;5.98;1.49;2.9;8.86;5.47;37.05;4.28;0.61;7;0.48;21.12;32.44;-88214.24
01/11/2012;2310841;1254604;1056237;3.56;1.66;5.81;1.51;2.87;8.8;5.49;36.3;4.2;0.56;6.8;0.45;20.79;32.08;-82698.88
01/12/2012;2368338;1291867;1076471;3.37;1.57;5.52;1.43;2.78;8.95;5.66;37.77;4.19;0.38;6.9;0.66;20.82;32.19;-104951.19
01/01/2013;2366165;1277890;1088275;3.7;1.96;5.75;1.51;2.79;8.69;5.68;36.64;4.27;0.34;7.3;1.01;20.89;32.17;-30251.41
01/02/2013;2383597;1288822;1094775;3.76;1.87;5.97;1.52;2.87;8.38;5.72;33.87;4.22;0.37;7.8;0.33;21.38;32.59;-27220.08
01/03/2013;2427062;1319047;1108015;3.81;1.88;6.11;1.51;2.83;8.24;5.71;33.54;4.15;0.32;8.1;0.72;21.22;32.4;-30720.1
01/04/2013;2449147;1324301;1124846;3.83;2.01;5.98;1.53;2.82;8.05;5.22;34.62;4.24;0.45;7.9;0.52;21.08;32.14;-41048.44
01/05/2013;2487294;1343310;1143984;3.61;1.84;5.68;1.51;2.8;7.92;5.18;34.95;4.22;0.41;7.7;0.32;20.43;31.51;-46729.4
01/06/2013;2531576;1371462;1160114;3.4;1.42;5.73;1.54;2.84;7.45;4.81;33.61;4.05;0.35;7.5;0.35;20.14;31.19;-52157.96
01/07/2013;2545127;1371133;1173994;3.58;1.78;5.7;1.58;2.9;7.48;4.9;34.79;3.94;0.39;7.4;-0.17;19.65;30.8;-54444.75
01/08/2013;2577874;1387379;1190495;3.35;1.61;5.39;1.62;2.93;7.17;4.95;34.69;3.77;0.4;7.2;0.2;19.38;30.58;-54012.88
01/09/2013;2597168;1394720;1202447;3.32;1.43;5.5;1.63;2.95;7.06;5.03;34.11;3.82;0.37;7;0.3;20.42;31.51;-44965.01
01/10/2013;2604241;1391759;1212482;3.45;1.64;5.52;1.64;3.01;6.85;4.95;34.65;3.77;0.43;6.8;0.55;20.46;31.62;-51153.42
01/11/2013;2646873;1418888;1227984;3.17;1.34;5.29;1.68;3.03;6.82;4.83;33.86;3.67;0.38;6.6;0.68;19.36;30.58;-80898.78
01/12/2013;2711371;1461999;1249372;3.3;1.65;5.24;1.67;3;6.97;4.89;35.98;3.5;0.33;6.3;0.69;19.23;30.5;-91306.12
01/01/2014;2713271;1450143;1263128;3.47;1.73;5.47;1.77;3.09;6.84;4.84;34.45;3.49;0.33;6.5;0.99;18.79;30.01;-19921.3
01/02/2014;2725652;1455446;1270206;3.32;1.47;5.44;1.79;3.23;6.65;4.81;31.53;3.45;0.46;6.8;0.66;19.32;30.36;-22051.52
01/03/2014;2752289;1470686;1281603;3.58;1.67;5.77;1.79;3.25;6.76;4.94;31.93;3.62;0.42;7.2;0.85;19.74;30.78;-25631.09
01/04/2014;2771347;1477149;1294198;3.77;1.91;5.89;1.78;3.24;6.87;5.05;32.14;3.52;0.4;7.2;0.77;19.63;30.78;-42526.89
01/05/2014;2798015;1486831;1311184;3.67;1.79;5.8;1.79;3.27;7.13;5.22;33.84;3.65;0.43;7.1;0.52;19.92;31.1;-31480.53
01/06/2014;2824626;1499849;1324777;3.51;1.54;5.74;1.77;3.32;6.96;4.87;32.57;3.6;0.41;6.9;0.33;20.38;31.48;-29380.05
01/07/2014;2830844;1497784;1333060;3.46;1.74;5.39;1.8;3.32;7.22;5.01;35.23;3.64;0.44;7;0.1;20.49;31.6;-24664.91
01/08/2014;2857674;1509536;1348138;3.28;1.56;5.21;1.78;3.34;7.26;5.01;35.36;3.71;0.45;7;0.12;21.04;32.14;-10204.89
01/09/2014;2896570;1535565;1361005;3.41;1.9;5.11;1.77;3.29;7.16;5.02;36.46;3.64;0.46;6.9;0.49;20.8;32.07;15286.1
01/10/2014;2919447;1541066;1378381;3.26;1.63;5.08;1.82;3.39;7.3;4.91;36.71;3.73;0.5;6.7;0.43;20.94;32.22;11557.46
01/11/2014;2956599;1566044;1390556;3.17;1.42;5.14;1.82;3.42;7.25;4.81;34.99;3.59;0.45;6.6;0.65;20.76;32.18;19641.68
01/12/2014;3017456;1601391;1416065;3.33;1.87;4.98;1.82;3.35;7.4;4.74;37.15;3.54;0.41;6.6;0.75;20.78;32.59;32535.92
01/01/2015;3021469;1591349;1430120;3.58;2.08;5.25;1.89;3.49;7.61;4.8;36.23;3.72;0.43;6.9;1.73;20.82;32.5;-21062.81
01/02/2015;3033503;1599734;1433769;3.56;1.97;5.34;1.95;3.61;7.51;5.25;34.05;3.74;0.45;7.5;0.97;20.46;32.3;-18763.16
01/03/2015;3070618;1625477;1445141;3.91;2.53;5.47;1.97;3.61;7.1;5.1;34.09;3.83;0.52;8;1.41;19.49;31.59;-19002.52
01/04/2015;3070707;1617486;1453221;3.85;2.37;5.5;1.99;3.71;7.22;4.95;34.5;4.06;0.76;8.1;0.61;20.29;32.35;-32447.53
01/05/2015;3092373;1630568;1461804;3.68;2.08;5.47;2;3.79;7.48;5.01;35.4;4.19;0.71;8.3;0.72;20.13;32.39;-25547.12
01/06/2015;3109967;1640086;1469882;3.83;2.23;5.61;2.04;3.86;6.87;4.91;35.52;4.18;0.71;8.4;0.82;20.96;33.23;-16223.97
01/07/2015;3119102;1643742;1475360;3.86;2.27;5.62;2.07;3.93;7.21;5.03;37.22;4.51;0.68;8.7;0.53;20.31;32.91;-6205.32
01/08/2015;3143987;1657395;1486592;3.74;2.06;5.61;2.11;4;7.65;5.07;37.63;4.6;0.77;8.9;0.22;19.62;32.46;1104.66
01/09/2015;3174090;1681022;1493068;3.96;2.3;5.82;2.18;4.06;7.83;5.04;38.16;4.76;0.57;9;0.42;18.88;32.02;8422.99
01/10/2015;3166774;1670159;1496614;4.33;2.42;6.46;2.21;4.18;7.74;5.18;38.48;5.01;0.57;9.1;0.76;19.84;33.06;19953.18
01/11/2015;3186591;1678370;1508221;3.9;2.04;5.96;2.23;4.21;8.64;5.33;37.77;5.24;0.66;9.1;1;20.52;33.9;39520.14
